"","words","term.freq","doc.freq"
"1","commerce",1,1
"2","canada.extract",1,1
"3","letter",122,83
"4","the",14229,355
"5","population",69,41
"6","canada",137,48
"7","was",1227,217
"8","reckoned",1,1
"9","souls",7,6
"10","whilst",15,13
"11","her",189,90
"12","exports",12,7
"13","had",737,169
"14","never",70,47
"15","exceeded",5,3
"16","two",279,133
"17","millions",33,20
"18","livres",2,2
"19","tournois",1,1
"20","about",284,132
"21","imports",7,4
"22","must",186,93
"23","have",996,242
"24","greatly",25,18
"25","but",604,176
"26","not",764,193
"27","even",80,57
"28","conjecture",1,1
"29","differences",3,3
"30","can",151,81
"31","formed",32,28
"32","present",176,94
"33","canadas",7,6
"34","may",371,145
"35","rated",3,3
"36","great",309,151
"37","this",1070,242
"38","augmentation",3,3
"39","appear",28,25
"40","will",575,172
"41","found",102,64
"42","surpassed",2,2
"43","proportional",2,2
"44","ratio",5,5
"45","population.from",1,1
"46","varied",4,4
"47","from",1497,289
"48","chiefly",20,19
"49","wheat",31,19
"50","furs",5,4
"51","and",5316,335
"52","peltry",1,1
"53","during",81,58
"54","last",226,127
"55","years",158,84
"56","they",782,196
"57","increased",18,15
"58","surprising",5,5
"59","sum",50,33
"60","sterling",26,19
"61","shall",179,68
"62","presently",3,2
"63","perceive",4,4
"64","following",121,92
"65","estimate",10,10
"66","which",1273,243
"67","cannot",72,53
"68","much",207,107
"69","over",90,62
"70","under",216,119
"71","truth",14,10
"72","skims",1,1
"73","all",538,181
"74","other",316,137
"75","grain",21,16
"76","flour",19,11
"77","biscuit",3,3
"78","lumber",2,2
"79","descriptions",11,10
"80","pot",2,2
"81","pearl",1,1
"82","ashes",4,4
"83","beets",1,1
"84","pork",12,8
"85","sundries",1,1
"86","too",61,43
"87","tedious",3,3
"88","particularise",1,1
"89","hulls",1,1
"90","masts",4,4
"91","yards",14,10
"92","vessels",82,43
"93","built",9,9
"94","province",54,31
"95","total",28,25
"96","domestic",13,11
"97","produce",60,42
"98","sundry",3,3
"99","goods",33,23
"100","imported",13,11
"101","exported",2,2
"102","commissions",6,6
"103","additional",24,18
"104","charges",9,5
"105","per",94,42
"106","cent",26,14
"107","amounts",8,6
"108","dutiable",2,1
"109","articles",43,24
"110","quebec",60,35
"111","impossible",14,13
"112","ascertain",9,9
"113","value",41,32
"114","safely",7,7
"115","conlude",1,1
"116","that",2136,283
"117","make",100,64
"118","importans",1,1
"119","one",412,160
"120","million",9,7
"121","leaving",28,26
"122","balance",1,1
"123","favour",40,31
"124","these",277,119
"125","provinces",18,13
"126","few",130,88
"127","ago",55,47
"128","would",388,113
"129","appeared",56,42
"130","incredible",3,3
"131","property",68,47
"132","carried",55,46
"133","whose",62,45
"134","tonnage",7,6
"135","navigated",1,1
"136","seamen",8,7
"137","freight",4,4
"138","primage",1,1
"139","are",973,233
"140","nine",28,24
"141","guineas",6,5
"142","ton",8,6
"143","being",231,121
"144","without",151,86
"145","taking",48,41
"146","into",239,133
"147","consideration",35,27
"148","britain",67,43
"149","gross",5,3
"150","amount",58,37
"151","our",404,127
"152","cargoes",11,5
"153","landed",35,27
"154","exceed",10,10
"155","tenth",5,4
"156","united",202,72
"157","kingdom.our",1,1
"158","has",575,201
"159","become",47,38
"160","considerable",60,46
"161","with",1218,247
"162","states",228,87
"163","thence",24,21
"164","since",84,66
"165","respectable",36,31
"166","intelligent",9,9
"167","american",111,73
"168","merchants",19,18
"169","begun",6,6
"170","settle",14,13
"171","amongst",37,28
"172","believe",35,30
"173","scale",13,10
"174","turned",9,8
"175","thus",63,45
"176","british",162,75
"177","industry",26,20
"178","commencing",3,3
"179","run",14,11
"180","channel",7,7
"181","before",126,76
"182","thought",37,22
"183","jamaica",19,11
"184","royal",61,33
"185","gazette",22,22
"186","kingston",29,13
"187","sept",39,15
"188","ship",121,68
"189","nestor",1,1
"190","belonging",44,37
"191","glasgow",23,16
"192","seized",11,10
"193","several",109,71
"194","months",37,35
"195","officers",51,36
"196","his",975,176
"197","majesty's",53,37
"198","customs",2,2
"199","port",92,52
"200","for",1472,264
"201","pro",8,7
"202","vided",1,1
"203","register",6,5
"204","according",28,22
"205","act",78,39
"206","parliament",32,24
"207","condemned",3,3
"208","court",56,30
"209","vice",5,4
"210","admiralty",7,6
"211","held",28,19
"212","spanish",30,25
"213","town",142,71
"214","friday",22,19
"215","week",44,31
"216","she",100,53
"217","sold",31,23
"218","morning",49,38
"219","some",355,156
"220","dispatches",8,8
"221","were",748,190
"222","received",137,95
"223","boston",9,9
"224","brought",69,48
"225","sally",2,2
"226","capt",32,20
"227","walker",4,3
"228","liverpool",21,18
"229","dated",67,56
"230","november",20,15
"231","contain",20,20
"232","account",68,55
"233","arrival",34,32
"234","ships",63,47
"235","newfoundland",14,10
"236","halifax",17,11
"237","provisions",69,35
"238","kinds",10,10
"239","very",361,147
"240","plentiful",9,8
"241","reasonable",9,9
"242","latest",4,4
"243","accounts",51,43
"244","west",96,47
"245","indies",26,22
"246","say",56,44
"247","supply",42,29
"248","islands",67,28
"249","either",32,28
"250","possibly",13,13
"251","obtained",38,28
"252","consequence",57,46
"253","bounties",2,2
"254","given",93,66
"255","most",257,127
"256","christian",7,6
"257","majesty",16,15
"258","charity",5,4
"259","therefore",65,44
"260","any",339,137
"261","spare",8,8
"262","first",171,106
"263","extended",16,14
"264","own",119,66
"265","colonies",100,44
"266","surprised",11,11
"267","particularly",31,24
"268","when",246,116
"269","consider",25,20
