"","x"
"1","sidney tell october patrick inst"
"2","grey duchess duke queen prince"
"3","captain cow ghost milk butter"
"4","binder globe july race twine"
"5","nino hindoo tier diocese arrangements"
"6","stair perth january marguerite lady"
"7","tlio percival elementary scow neil"
"8","shelley amber meerschaum pipes morrill"
"9","river lit iii ith lost"
"10","dolores duvane madame claude norris"
"11","route portion november strange standard"
"12","feb tunnel february loan pine"
"13","maud larry tliat cosgrove duvanee"
"14","chief mare considerable thc huron"
"15","muriel hamilton army soudan mervyn"
"16","cts railway cents miles winnipeg"
"17","dolly muck silo ammonia appreciate"
"18","jean carey nino norris tired"
"19","non bibliothèque archives nationales québec"
"20","prisoner witness deceased sidney did"
"21","entries lawrence duvanee armstrong madame"
"22","duchess solid rewards extra star"
"23","thv jones tliv hurry act"
"24","colonel percival sir dolores vane"
"25","hair vigor poultry nelson contributed"
"26","jury comanos sudbury mirehouse hers"
"27","cousin orange etiquette towers orangemen"
"28","ethel music duke knowing nurse"
"29","mil tariff protection tliu commons"
"30","excellency loyalty drunk nml lansdowne"
"31","inez wrong wilson marks david"
"32","acres ini trees storm settlement"
"33","thc onslow darcy este nose"
"34","thence loan moses rod excellency"
"35","cup dog duke milk irene"
"36","cholera toulon marseilles crank deaths"
"37","sidney stephen daunt catarrh thereon"
"38","varian linden lawrence tlie madame"
"39","wound christmas cup december cream"
"40","deer doe rohrbacker sphere farrell"
"41","yer nairn martha fork execution"
"42","garden perrault downs picnic crib"
"43","the and that for was"
"44","boundary arbitrators tribunal bessie produced"
"45","dolores inez aunt varian linden"
"46","cts mcgill education heneker stanstead"
"47","thy crossing skead convention cleary"
"48","you her which but tho"
"49","milner lloyd whale cable honey"
"50","are being years fort pembroke"
