"","words","term.freq","doc.freq"
"1","page",44,11
"2","abimee",20,13
"3","tpr",1,1
"4","ill",758,66
"5","mit",74,42
"6","tdiidcu",1,1
"7","j«*rry",1,1
"8","wui",8,8
"9","icivt",1,1
"10","i'll",78,42
"11","limy",14,13
"12","iav",2,2
"13","liwi",2,2
"14","t*t",3,3
"15","roithittifi",1,1
"16","hdlhir",1,1
"17","ln-l/hw",1,1
"18","thu",359,63
"19","eçumr",1,1
"20","fhe",26,21
"21","kæxitity",1,1
"22","tkl",4,4
"23","itt",22,18
"24","smith",188,62
"25","qotoah",1,1
"26","hif",3,3
"27","httlo",2,2
"28","incident",33,22
"29","given",602,67
"30","r»y",1,1
"31","writer",59,36
"32","show",248,66
"33","the",65995,76
"34","tin",893,66
"35","traveller",29,24
"36","bar-not",1,1
"37","aeivm",1,1
"38","nough",1,1
"39","diagnu",1,1
"40","fimd",2,2
"41","party",421,67
"42","when",2201,67
"43","they",2988,67
"44","one",3295,67
"45","saw",375,66
"46","umiuuu",1,1
"47","tak",25,23
"48","man",1638,67
"49","oo*)ar",1,1
"50","ank",4,4
"51","linn",32,22
"52","t»p",1,1
"53","into",1251,67
"54","railroad",77,43
"55","jam",31,21
"56","lum",15,15
"57","down",826,66
"58","test",40,26
"59","ncx",1,1
"60","a#/vc",1,1
"61","pile",25,21
"62","a!me",1,1
"63","aid",238,66
"64","two",1460,67
"65","hbdkct",1,1
"66","wpli",1,1
"67","i#kiae",1,1
"68","cot",14,12
"69","and",30596,67
"70","ln«ig",1,1
"71","har-lle",1,1
"72","lna",1,1
"73","above",325,66
"74","ball",139,46
"75","lap",10,9
"76","now",1681,67
"77","sit",80,45
"78","tbeo",1,1
"79","until",680,67
"80","dip",7,7
"81","bfar",1,1
"82","jane",18,14
"83","car",162,58
"84","d'd",1,1
"85","v*w",1,1
"86","n'**v",1,1
"87","reached",147,58
"88","door",285,60
"89","oiler",12,9
"90","aef",1,1
"91","tft",8,7
"92","toil",30,18
"93","naw",2,2
"94","w-a",1,1
"95","roared",3,3
"96","woman",383,61
"97","daughter",225,60
"98","hunhand",1,1
"99","lihc-tt",1,1
"100","hpirit",1,1
"101","diiough",1,1
"102","say",649,67
"103","her",4639,67
"104","soul",59,31
"105","hat",303,62
"106","t'n",1,1
"107","ftim.j",1,1
"108","tfkmh",1,1
"109","heimm'bin",1,1
"110","tvbtrllc",1,1
"111","dovn",1,1
"112","dolin",1,1
"113","i/imr",1,1
"114","m/omri",1,1
"115","iiv",27,15
"116","tifh",1,1
"117","re-i/s",1,1
"118","n\d",1,1
"119","rtf",14,13
"120","iue",9,9
"121","ueur",1,1
"122","bryson",989,67
"123","ovni",2,2
"124","mxti",1,1
"125","f,.,.ir\n",1,1
"126","ihhh",1,1
"127","vyiflll",1,1
"128","tllflt",1,1
"129","lilnvvrotlf",1,1
"130","oftuowfhl",1,1
"131","l.irwr",1,1
"132","lu-r",2,2
"133","art»,il",1,1
"134","fur",506,67
"135","whet",11,10
"136","really",116,51
"137","ioi",2,2
"138","h"".i",1,1
"139","t'iinor",1,1
"140","erd",1,1
"141","hiu",10,9
"142","sih",6,6
"143","work",1008,67
"144","sonie",2,2
"145","itofhtng",1,1
"146","irelunii",1,1
"147","lath",10,8
"148","frit'll",1,1
"149","fly",44,27
"150","gel",4,4
"151","wiml",2,2
"152","il«t",1,1
"153","hlnwi",1,1
"154","uut",10,10
"155","w«a",1,1
"156","wild",90,48
"157","made",1338,67
"158","supp-ae",1,1
"159","there",2258,67
"160","llmm",1,1
"161","certain",190,63
"162","ing",688,67
"163","latter",180,59
"164","sono",1,1
"165","whwnwi",1,1
"166","li'ih-h",1,1
"167","i'alji'i",1,1
"168","ip-iniuii",1,1
"169","rtimu",1,1
"170","r«.t",1,1
"171","is«-ri",1,1
"172","t.vtrdi.tuntiin",1,1
"173","drunk",23,14
"174","again",560,66
"175","lovp",1,1
"176","are",3943,67
"177","flirt",9,6
"178","word",211,62
"179","oil",369,67
"180","without",566,67
"181","iwnit",1,1
"182","ever",623,67
"183","maud",175,24
"184","linden",172,18
"185","poor",241,65
"186","child",385,63
"187","yauh",1,1
"188","tint",121,51
"189","hih",4,3
"190","for",8993,67
"191","iiwlan'-i",1,1
"192","l'.t.t",1,1
"193","fit",112,53
"194","iw-er",1,1
"195","t-n",4,4
"196","thy",77,31
"197","wffl",1,1
"198","l»'l",1,1
"199","that",10670,67
"200","fall",250,62
"201","from",4778,67
"202","v'lut",1,1
"203","iumi",4,4
"204","fini",21,17
"205","hue",79,46
"206","h*t",2,2
"207","tld",4,4
"208","ling",35,22
"209","lottliah",1,1
"210","ilia",60,41
"211","iayi",1,1
"212","rh,i;i",1,1
"213","ilml",1,1
"214","ii'-thing",1,1
"215","ivcnlllil",1,1
"216","nmit",2,2
"217","reiys",1,1
"218","will",5180,67
"219","v""'-r",1,1
"220","uni",89,42
"221","might",430,66
"222","l'ottlrwart",1,1
"223","ht-r",1,1
"224","wemi",1,1
"225","irrt't",1,1
"226","fhat",4,4
"227","deliberate",9,8
"228","examination",77,39
"229","fn-.-ui",1,1
"230","yov.in",1,1
"231","tjiati",1,1
"232","any",1515,67
"233","time",1660,67
"234","else",124,52
"235","tlir",23,16
"236","disnatisfied",1,1
"237","well",1217,67
"238","iniuli",1,1
"239","ilivtl",1,1
"240","iwnrow",1,1
"241","inomingv",1,1
"242","t.uu;t",1,1
"243","tnfi",1,1
"244","lit'i",1,1
"245","lion",127,50
"246","it's",31,25
"247","wonder",89,46
"248","coold",1,1
"249","not",4902,67
"250","till",392,66
"251","dam",26,18
"252","iii",246,61
"253","nlnlirj",1,1
"254","raya",2,2
"255","viimii",1,1
"256","look",385,66
"257","your",1335,67
"258","inetty",1,1
"259","faee",2,2
"260","to-day",145,53
"261","nrnt",1,1
"262","fieri",4,4
"263","ieaker",1,1
"264","tumbles",2,2
"265","fiatmat",1,1
"266","limit",48,29
"267","you",4711,67
"268","last",1409,67
"269","night",587,67
"270","thought",447,67
"271","had",3453,67
"272","sworn",21,19
"273","walkin",2,2
"274","with",6683,67
"275","hill",116,51
"276","rent",75,41
"277","typical",4,4
"278","irelli",1,1
"279","innnuthnig",1,1
"280","high",294,65
"281","timo",8,8
"282","off",466,67
"283","christina",5,5
"284","wall",53,31
"285","pretty",217,59
"286","hoaid",2,2
"287","elie",1,1
"288","d'-n",1,1
"289","dnsiil",1,1
"290","groat",49,36
"291","tro",5,4
"292","lire",60,35
"293","how",719,65
"294","she",3474,66
"295","u»u#aj",1,1
"296","lit",253,61
"297","tiegin",1,1
"298","break",82,48
"299","mir",19,16
"300","necks",6,5
"301","fellow",121,47
"302","hrvak",1,1
"303","out",1984,67
"304","inn",65,36
"305","wtek",1,1
"306","dtainheidiitg",1,1
"307","tliere",6,6
"308","much",989,67
"309","fear",121,49
"310","nine",116,56
"311","fourtnan",1,1
"312","inmra",1,1
"313","every",1287,67
"314","twenty",177,63
"315","ov.*r",1,1
"316","fumitiirr",1,1
"317","liar",39,27
"318","matt",18,17
"319","hut",519,65
"320","thaï",15,14
"321","ahle",1,1
"322","get",525,66
"323","along",199,63
"324","thi",129,52
"325","four",388,67
"326","often",206,65
"327","cmiuiuli",1,1
"328","which",3936,67
"329","cannot",390,64
"330","make",733,67
"331","lawrence",180,29
"332","aariau",1,1
"333","nut",168,59
"334","world",399,64
"335","while",745,67
"336","have",4406,67
"337","strength",112,52
"338","ami",1024,67
"339","iir",13,11
"340","uji",1,1
"341","thun",8,8
"342","only",1236,67
"343","luck",29,18
"344","would",2439,67
"345","neitliur",1,1
"346","iiaiiit",1,1
"347","father",477,65
"348","uiinka",1,1
"349","him",2762,67
"350","hand",665,67
"351","dread",37,25
"352","though",272,67
"353","thing",343,65
"354","earthly",12,10
"355","can",1472,67
"356","wys",4,3
"357","ltal",1,1
"358","nor",198,65
"359","taint",18,17
"360","litoral",1,1
"361","youth",66,38
"362","never",869,67
"363","yet",439,66
"364","teen",14,12
"365","wiiletl",1,1
"366","namely",14,13
